"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"chargé / chargée des relations publiques";http://www.onisep.fr/http/redirection/metier/slug/MET.314;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1103;Communication;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103;"information-communication, audiovisuel/communication"
"chargé /chargée de recherche en recrutement";http://www.onisep.fr/http/redirection/metier/slug/MET.209;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1502;"Développement des ressources humaines";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1502;"gestion des entreprises, comptabilité/ressources humaines"
"chaudronnier / chaudronnière";http://www.onisep.fr/http/redirection/metier/slug/MET.576;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2017;9782273013284;"GFE E : travail des métaux";H2902;"Chaudronnerie - tôlerie";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2902;"mécanique/travail des métaux"
"chef / cheffe de chantier en installations électriques";http://www.onisep.fr/http/redirection/metier/slug/MET.286;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE H : électricité, énergie, électronique";F1202;"Direction de chantier du BTP";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1202;"électricité - électronique - robotique/électrotechnique| construction - architecture - travaux publics/équipement technique"
"chef / cheffe de mission humanitaire";http://www.onisep.fr/http/redirection/metier/slug/MET.219;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";N1301;"Conception et organisation de la chaîne logistique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1301;"santé - social - sport/travail social"
"chef / cheffe de produit marketing";http://www.onisep.fr/http/redirection/metier/slug/MET.539;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"GFE Q : commerce, gestion, finances";M1703;"Management et gestion de produit";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1703;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing - vente"
"chef / cheffe de produit technique en informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.229;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1703;"Management et gestion de produit";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1703;"informatique, internet/informatique (généralités)| commerce, marketing, vente/marketing - vente| électricité - électronique - robotique/télécommunications"
"chef / cheffe de projet communication digitale";http://www.onisep.fr/http/redirection/metier/slug/MET.802;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1103;Communication;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103;"commerce, marketing, vente/marketing - vente"
"chef / cheffe de projet éolien";http://www.onisep.fr/http/redirection/metier/slug/MET.302;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement - énergies - propreté/énergies"
"chef / cheffe de projet packaging";http://www.onisep.fr/http/redirection/metier/slug/MET.858;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE O : transport, logistique";;;;"logistique - transport/logistique"
"chef / cheffe de rayon";http://www.onisep.fr/http/redirection/metier/slug/MET.299;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1502;"Management/gestion de rayon produits alimentaires";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1502;"commerce, marketing, vente/grande distribution et petits commerces"
"chef monteur / cheffe monteuse";http://www.onisep.fr/http/redirection/metier/slug/MET.656;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE V : arts, spectacle, audiovisuel";L1507;"Montage audiovisuel et post-production";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1507;"information-communication, audiovisuel/audiovisuel"
"chercheur / chercheuse en physique";http://www.onisep.fr/http/redirection/metier/slug/MET.800;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402;sciences/physique
"chocolatier-confiseur / chocolatière-confiseuse";http://www.onisep.fr/http/redirection/metier/slug/MET.88;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE K : production alimentaire";D1104;"Pâtisserie, confiserie, chocolaterie et glacerie";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1104;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"cogniticien / cogniticienne";http://www.onisep.fr/http/redirection/metier/slug/MET.592;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"informatique, internet/informatique (généralités)| histoire-géographie, psychologie, sociologie/psychologie"
"collecteur / collectrice de fonds";http://www.onisep.fr/http/redirection/metier/slug/MET.614;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1705;Marketing;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1705;"commerce, marketing, vente/marketing - vente"
"coloriste (papier-carton)";http://www.onisep.fr/http/redirection/metier/slug/MET.507;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"sciences/chimie| matières premières, fabrication, industries/papier carton"
"commercial / commerciale à bord des trains";http://www.onisep.fr/http/redirection/metier/slug/MET.186;"Les métiers du ferroviaire";"Zoom sur les métiers";2021;9782273015561;"GFE O : transport, logistique";N4302;"Contrôle des transports en commun";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4302;"armée, sécurité/sécurité prévention"
"commissaire-priseur / commissaire-priseuse";http://www.onisep.fr/http/redirection/metier/slug/MET.673;"Les métiers de la culture et du patrimoine";Parcours;2018;9782273013338;"GFE V : arts, spectacle, audiovisuel";K1901;"Aide et médiation judiciaire";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901;"arts, culture, artisanat/commerce de l'art| économie - droit - politique/droit (généralités)| économie - droit - politique/droit privé"
comptable;http://www.onisep.fr/http/redirection/metier/slug/MET.11;"Les métiers de la gestion, de la comptabilité et des ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1203;Comptabilité;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1203;"gestion des entreprises, comptabilité/comptabilité"
"concepteur / conceptrice de niveaux de jeu web";http://www.onisep.fr/http/redirection/metier/slug/MET.823;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
"concepteur-rédacteur / conceptrice-rédactrice";http://www.onisep.fr/http/redirection/metier/slug/MET.316;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"information-communication, audiovisuel/journalisme - édition - publicité"
"conducteur / conductrice de bus ou d'autocar";http://www.onisep.fr/http/redirection/metier/slug/MET.907;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";N4103;"Conduite de transport en commun sur route";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4103;"logistique - transport/transport"
"conducteur / conductrice de machine à imprimer";http://www.onisep.fr/http/redirection/metier/slug/MET.274;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE N : techniques graphiques, impression";E1301;"Conduite de machines d'impression";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1301;"mécanique/automatismes| matières premières, fabrication, industries/fabrication - productique| information-communication, audiovisuel/industries graphiques"
"conducteur / conductrice de machines agricoles";http://www.onisep.fr/http/redirection/metier/slug/MET.287;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1101;"Conduite d'engins agricoles et forestiers";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1101;"mécanique/machinisme agricole"
"conducteur / conductrice de train";http://www.onisep.fr/http/redirection/metier/slug/MET.154;"Les métiers du ferroviaire";"Zoom sur les métiers";2021;9782273015561;"GFE O : transport, logistique";N4301;"Conduite sur rails";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4301;"logistique - transport/transport"
"conducteur / conductrice de travaux en entreprises de travaux agricoles";http://www.onisep.fr/http/redirection/metier/slug/MET.116;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1416;"Polyculture, élevage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1416;"mécanique/machinisme agricole"
"conseiller / conseillère agricole";http://www.onisep.fr/http/redirection/metier/slug/MET.265;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1301;"Conseil et assistance technique en agriculture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301;"agriculture, animaux/développement agricole"
"conseiller / conseillère d'élevage";http://www.onisep.fr/http/redirection/metier/slug/MET.234;"Les métiers auprès des animaux";Parcours;2019;9782273014588;"GFE A : agriculture";A1301;"Conseil et assistance technique en agriculture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301;"agriculture, animaux/développement agricole| agriculture, animaux/élevage - aquaculture"
"conseiller / conseillère en assurances";http://www.onisep.fr/http/redirection/metier/slug/MET.909;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1102;"Conseil clientèle en assurances";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1102;"banque - assurances - immobilier/assurances"
"conseiller / conseillère en génétique";http://www.onisep.fr/http/redirection/metier/slug/MET.341;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";;;;sciences/biologie
"conseiller / conseillère en voyages";http://www.onisep.fr/http/redirection/metier/slug/MET.604;"Les métiers du tourisme";Parcours;2019;9782273014526;"GFE S : hôtellerie,  tourisme, loisirs";G1303;"Vente de voyages";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1303;"hôtellerie - restauration - tourisme/tourisme"
