"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"psychomotricien / psychomotricienne";http://www.onisep.fr/http/redirection/metier/slug/MET.876;"Les métiers auprès des enfants";Parcours;2020;9782273015189;"GFE R : santé, social, soins personnels";J1412;"Rééducation en psychomotricité";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1412;"santé - social - sport/paramédical"
"rédacteur / rédactrice en chef";http://www.onisep.fr/http/redirection/metier/slug/MET.901;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1106;"Journalisme et information média";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106;"information-communication, audiovisuel/journalisme - édition - publicité"
"rédacteur médical / rédactrice médicale";http://www.onisep.fr/http/redirection/metier/slug/MET.828;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";H1207;"Rédaction technique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1207;"sciences/biologie| santé - social - sport/santé (généralités)"
"régisseur / régisseuse lumière";http://www.onisep.fr/http/redirection/metier/slug/MET.359;"Les études d'art";Dossiers;2020;9782273015332;"GFE V : arts, spectacle, audiovisuel";L1504;"Éclairage spectacle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1504;"arts, culture, artisanat/arts du spectacle"
"reporter-photographe / reportrice-photographe";http://www.onisep.fr/http/redirection/metier/slug/MET.586;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1106;"Journalisme et information média";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106;"information-communication, audiovisuel/audiovisuel"
"responsable d'élevage agricole";http://www.onisep.fr/http/redirection/metier/slug/MET.362;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1407;"Élevage bovin ou équin";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1407;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/élevage - aquaculture"
"responsable de fabrication en chimie";http://www.onisep.fr/http/redirection/metier/slug/MET.628;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;sciences/chimie
"responsable de laboratoire de contrôle en biologie";http://www.onisep.fr/http/redirection/metier/slug/MET.946;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1501;"Direction de laboratoire d'analyse industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1501;sciences/biologie
"responsable de laboratoire de recherche";http://www.onisep.fr/http/redirection/metier/slug/MET.109;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"lettres, langues - enseignement/enseignement"
"responsable de réseau d'assainissement";http://www.onisep.fr/http/redirection/metier/slug/MET.822;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";K2302;"Management et inspection en environnement urbain";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2302;"environnement - énergies - propreté/gestion de l'eau| sciences/physique| sciences/sciences de la Terre"
"responsable des ouvrages hydroélectriques";http://www.onisep.fr/http/redirection/metier/slug/MET.739;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE H : électricité, énergie, électronique";H2502;"Management et ingénierie de production";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;sciences/physique
"responsable du recrutement";http://www.onisep.fr/http/redirection/metier/slug/MET.756;"Les métiers de la gestion, de la comptabilité et des ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1502;"Développement des ressources humaines";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1502;"gestion des entreprises, comptabilité/ressources humaines"
"responsable du service après-vente";http://www.onisep.fr/http/redirection/metier/slug/MET.543;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";I1402;"Réparation de biens électrodomestiques et multimédia";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1402;"commerce, marketing, vente/grande distribution et petits commerces| matières premières, fabrication, industries/maintenance - qualité"
"responsable qualité en agroalimentaire";http://www.onisep.fr/http/redirection/metier/slug/MET.113;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE K : production alimentaire";H1502;"Management et ingénierie qualité industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1502;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/fabrication - productique"
sage-femme;http://www.onisep.fr/http/redirection/metier/slug/MET.787;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1104;"Suivi de la grossesse et de l'accouchement";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1104;"santé - social - sport/médical"
"sculpteur / sculptrice sur bois";http://www.onisep.fr/http/redirection/metier/slug/MET.394;;"pas de publication Onisep spécifique";;;"GFE M : travail du bois";H2208;"Réalisation d'ouvrages décoratifs en bois";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2208;"arts, culture, artisanat/artisanat d'art"
"secrétaire d'édition";http://www.onisep.fr/http/redirection/metier/slug/MET.67;"Les métiers du livre";Parcours;2021;9782273015851;"GFE U : communication, médias";E1105;"Coordination d'édition";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1105;"information-communication, audiovisuel/journalisme - édition - publicité"
"secrétaire médical / médicale";http://www.onisep.fr/http/redirection/metier/slug/MET.556;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";M1609;"Secrétariat et assistanat médical ou médico-social";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1609;"gestion des entreprises, comptabilité/secrétariat"
"serrurier-métallier / serrurière-métallière";http://www.onisep.fr/http/redirection/metier/slug/MET.148;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE E : travail des métaux";H2911;"Réalisation de structures métalliques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2911;"mécanique/travail des métaux"
"sommelier / sommelière";http://www.onisep.fr/http/redirection/metier/slug/MET.4;"Les métiers de l'hôtellerie et de la restauration";Parcours;2018;9782273013895;"GFE S : hôtellerie,  tourisme, loisirs";G1804;Sommellerie;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1804;"hôtellerie - restauration - tourisme/restauration"
"sous-officier / sous-officière de l'armée de l'air";http://www.onisep.fr/http/redirection/metier/slug/MET.695;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1701;"Personnel de la Défense";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1701;"armée, sécurité/défense publique| logistique - transport/transport"
"spécialiste des affaires réglementaires en chimie";http://www.onisep.fr/http/redirection/metier/slug/MET.736;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1502;"Management et ingénierie qualité industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1502;"sciences/biologie| sciences/chimie| économie - droit - politique/droit (généralités)"
"spécialiste des affaires réglementaires en chimie";http://www.onisep.fr/http/redirection/metier/slug/MET.736;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1502;"Management et ingénierie qualité industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1502;"sciences/biologie| sciences/chimie| économie - droit - politique/droit (généralités)"
"spécialiste en shiatsu";http://www.onisep.fr/http/redirection/metier/slug/MET.7767;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K1103;"Développement personnel et bien-être de la personne";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1103;sciences/biologie
"statisticien / statisticienne en analyse sensorielle";http://www.onisep.fr/http/redirection/metier/slug/MET.230;"Les métiers des mathématiques et de l'informatique";"Zoom sur les métiers";2015;9782273012652;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1403;"Études et prospectives socio-économiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1403;sciences/mathématiques
styliste;http://www.onisep.fr/http/redirection/metier/slug/MET.25;"Les études d'art";Dossiers;2020;9782273015332;"GFE L : textile, habillement, cuir";B1805;Stylisme;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1805;"arts, culture, artisanat/arts graphiques| matières premières, fabrication, industries/textile - habillement"
"tailleur / tailleuse de pierre";http://www.onisep.fr/http/redirection/metier/slug/MET.295;;"pas de publication Onisep spécifique";;;"GFE C : bâtiment";F1612;"Taille et décoration de pierres";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1612;"construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/mines et carrières| arts, culture, artisanat/restauration d'art"
"technicien / technicienne biologiste";http://www.onisep.fr/http/redirection/metier/slug/MET.288;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1210;"Intervention technique en études, recherche et développement";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1210;"sciences/biologie| environnement - énergies - propreté/déchets, pollutions et risques| santé - social - sport/santé (généralités)"
"technicien / technicienne d'essais";http://www.onisep.fr/http/redirection/metier/slug/MET.574;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";H1504;"Intervention technique en contrôle essai qualité en électricité et électronique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1504;"mécanique/aéronautique| mécanique/automatismes| électricité - électronique - robotique/électronique| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fabrication - productique| sciences/physique"
"technicien / technicienne de forge";http://www.onisep.fr/http/redirection/metier/slug/MET.550;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2017;9782273013284;"GFE E : travail des métaux";H2904;"Conduite d'équipement de déformation des métaux";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2904;"mécanique/travail des métaux"
"technicien / technicienne de la circulation ferroviaire SNCF";http://www.onisep.fr/http/redirection/metier/slug/MET.896;"Les métiers du ferroviaire";"Zoom sur les métiers";2021;9782273015561;"GFE O : transport, logistique";;;;"logistique - transport/transport"
"technicien / technicienne de maintenance industrielle";http://www.onisep.fr/http/redirection/metier/slug/MET.866;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE F : mécanique";I1304;"Installation et maintenance d'équipements industriels et d'exploitation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1304;"mécanique/automatismes| électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| matières premières, fabrication, industries/maintenance - qualité| mécanique/mécanique (généralités)"
"technicien / technicienne des industries du verre";http://www.onisep.fr/http/redirection/metier/slug/MET.35;"Les métiers de l'industrie du verre";Parcours;2022;9782273016247;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2805;"Pilotage d'installation de production verrière";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2805;"matières premières, fabrication, industries/céramique, composites| construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/verre"
"technicien / technicienne en optique de précision";http://www.onisep.fr/http/redirection/metier/slug/MET.165;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1210;"Intervention technique en études, recherche et développement";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1210;"électricité - électronique - robotique/électronique| mécanique/mécanique (généralités)| sciences/physique"
"technicien / technicienne logistique";http://www.onisep.fr/http/redirection/metier/slug/MET.143;"Les métiers de l'indistrie textile";"Zoom sur les métiers";2022;9782273015585;"GFE O : transport, logistique";N1303;"Intervention technique d'exploitation logistique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1303;"logistique - transport/logistique| logistique - transport/transport"
"technicien / technicienne paysagiste";http://www.onisep.fr/http/redirection/metier/slug/MET.197;"Les métiers du paysage";"Zoom sur les métiers";2018;9782273014397;"GFE T : environnement, nettoyage, sécurité";A1203;"Aménagement et entretien des espaces verts";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1203;"environnement - énergies - propreté/aménagement paysager"
"technicien / technicienne paysagiste";http://www.onisep.fr/http/redirection/metier/slug/MET.197;"Les métiers de l'architecture, de l'urbanisme et du paysage";Parcours;2020;9782273015196;"GFE T : environnement, nettoyage, sécurité";A1203;"Aménagement et entretien des espaces verts";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1203;"environnement - énergies - propreté/aménagement paysager"
"technicien / technicienne qualité";http://www.onisep.fr/http/redirection/metier/slug/MET.175;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1503;"Intervention technique en laboratoire d'analyse industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1503;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/fabrication - productique| matières premières, fabrication, industries/maintenance - qualité"
"technicien / technicienne qualité";http://www.onisep.fr/http/redirection/metier/slug/MET.175;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1503;"Intervention technique en laboratoire d'analyse industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1503;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/fabrication - productique| matières premières, fabrication, industries/maintenance - qualité"
"technicien électronicien / technicienne électronicienne";http://www.onisep.fr/http/redirection/metier/slug/MET.198;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2017;9782273013284;"GFE H : électricité, énergie, électronique";I1305;"Installation et maintenance électronique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1305;"électricité - électronique - robotique/électronique"
"technicien forestier / technicienne forestière";http://www.onisep.fr/http/redirection/metier/slug/MET.290;"Les métiers de la forêt et du bois";"Zoom sur les métiers";2017;9782273013635;"GFE A : agriculture";A1301;"Conseil et assistance technique en agriculture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301;"agriculture, animaux/forêt"
"technico-commercial / technico-commerciale en agroalimentaire";http://www.onisep.fr/http/redirection/metier/slug/MET.548;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE K : production alimentaire";D1407;"Relation technico-commerciale";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1407;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/marketing - vente"
"testeur / testeuse en informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.84;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"informatique, internet/développement - programmation -  logiciel| informatique, internet/informatique de gestion| information-communication, audiovisuel/multimédia| informatique, internet/systèmes et réseaux"
trader;http://www.onisep.fr/http/redirection/metier/slug/MET.757;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1301;"Front office marchés financiers";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1301;"banque - assurances - immobilier/finances"
"traffic manager";http://www.onisep.fr/http/redirection/metier/slug/MET.489;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE U : communication, médias";E1402;"Élaboration de plan média";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1402;"commerce, marketing, vente/marketing - vente"
"veilleur / veilleuse stratégique";http://www.onisep.fr/http/redirection/metier/slug/MET.788;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601;"information-communication, audiovisuel/bibliothèque - documentation"
"vendeur / vendeuse conseil caviste";http://www.onisep.fr/http/redirection/metier/slug/MET.631;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE Q : commerce, gestion, finances";D1106;"Vente en alimentation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"vendeur / vendeuse en magasin";http://www.onisep.fr/http/redirection/metier/slug/MET.860;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1106;"Vente en alimentation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing - vente"
"vendeur-conseil / vendeuse-conseil en matériel agricole";http://www.onisep.fr/http/redirection/metier/slug/MET.199;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";;;;"mécanique/machinisme agricole| commerce, marketing, vente/marketing - vente"
vétérinaire;http://www.onisep.fr/http/redirection/metier/slug/MET.171;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1504;"Santé animale";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1504;"agriculture, animaux/soins aux animaux"
"viticulteur / viticultrice";http://www.onisep.fr/http/redirection/metier/slug/MET.174;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1405;"Arboriculture et viticulture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1405;"matières premières, fabrication, industries/agroalimentaire| agriculture, animaux/cultures"
webdesigner;http://www.onisep.fr/http/redirection/metier/slug/MET.450;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE U : communication, médias";E1205;"Réalisation de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
webdesigner;http://www.onisep.fr/http/redirection/metier/slug/MET.450;"Les métiers de la Grande Ecole du Numérique";"Zoom sur les métiers";2019;9782273014854;"GFE U : communication, médias";E1205;"Réalisation de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
"technicien électronicien / technicienne électronicienne";http://www.onisep.fr/http/redirection/metier/slug/MET.198;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE H : électricité, énergie, électronique";I1305;"Installation et maintenance électronique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1305;"électricité - électronique - robotique/électronique"
"technicien pétrolier / technicienne pétrolière";http://www.onisep.fr/http/redirection/metier/slug/MET.777;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement - énergies - propreté/énergies"
"teinturier / teinturière blanchisseur / blanchisseuse";http://www.onisep.fr/http/redirection/metier/slug/MET.694;;"pas de publication Onisep spécifique";;;"GFE L : textile, habillement, cuir";K2201;"Blanchisserie industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2201;"environnement - énergies - propreté/propreté| matières premières, fabrication, industries/textile - habillement"
"testeur / testeuse en informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.84;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"informatique, internet/développement - programmation -  logiciel| informatique, internet/informatique de gestion| information-communication, audiovisuel/multimédia| informatique, internet/systèmes et réseaux"
"traducteur / traductrice technique";http://www.onisep.fr/http/redirection/metier/slug/MET.354;"Les métiers des langues et de l'international";Parcours;2017;9782273013277;"GFE U : communication, médias";E1108;"Traduction, interprétariat";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1108;"lettres, langues - enseignement/langues"
"traffic manager";http://www.onisep.fr/http/redirection/metier/slug/MET.489;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1402;"Élaboration de plan média";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1402;"commerce, marketing, vente/marketing - vente"
"vendeur / vendeuse conseil caviste";http://www.onisep.fr/http/redirection/metier/slug/MET.631;"Les métiers du commerce alimentaire de proximité";"Zoom sur les métiers";2020;9782273014915;"GFE Q : commerce, gestion, finances";D1106;"Vente en alimentation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"vendeur / vendeuse en magasin";http://www.onisep.fr/http/redirection/metier/slug/MET.860;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"GFE Q : commerce, gestion, finances";D1106;"Vente en alimentation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing - vente"
"vendeur-conseil / vendeuse-conseil en matériel agricole";http://www.onisep.fr/http/redirection/metier/slug/MET.199;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";;;;"mécanique/machinisme agricole| commerce, marketing, vente/marketing - vente"
"vendeur-magasinier / vendeuse-magasinière en fournitures automobiles";http://www.onisep.fr/http/redirection/metier/slug/MET.317;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE Q : commerce, gestion, finances";D1212;"Vente en décoration et équipement du foyer";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1212;"commerce, marketing, vente/achat, approvisionnement| mécanique/automobile"
vétérinaire;http://www.onisep.fr/http/redirection/metier/slug/MET.171;"Les métiers auprès des animaux";Parcours;2019;9782273014588;"GFE A : agriculture";A1504;"Santé animale";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1504;"agriculture, animaux/soins aux animaux"
"viticulteur / viticultrice";http://www.onisep.fr/http/redirection/metier/slug/MET.174;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1405;"Arboriculture et viticulture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1405;"matières premières, fabrication, industries/agroalimentaire| agriculture, animaux/cultures"
webdesigner;http://www.onisep.fr/http/redirection/metier/slug/MET.450;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1205;"Réalisation de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
webmestre;http://www.onisep.fr/http/redirection/metier/slug/MET.422;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"informatique, internet/développement - programmation -  logiciel| information-communication, audiovisuel/multimédia| informatique, internet/systèmes et réseaux"
"accompagnant éducatif et social / accompagnante éducative et sociale";http://www.onisep.fr/http/redirection/metier/slug/MET.782;"Les métiers des associations de l'aide et du soin à domicile";"Zoom sur les métiers";2017;9782273013628;"GFE R : santé, social, soins personnels";K1301;"Accompagnement médicosocial";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1301;"santé - social - sport/travail social"
"accompagnateur / accompagnatrice de voyages";http://www.onisep.fr/http/redirection/metier/slug/MET.41;"Les métiers du tourisme";Parcours;2019;9782273014526;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"lettres, langues - enseignement/langues| hôtellerie - restauration - tourisme/tourisme"
"acheteur / acheteuse";http://www.onisep.fr/http/redirection/metier/slug/MET.571;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE Q : commerce, gestion, finances";M1101;Achat;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement| commerce, marketing, vente/grande distribution et petits commerces"
"acheteur / acheteuse d'espaces publicitaires";http://www.onisep.fr/http/redirection/metier/slug/MET.432;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE U : communication, médias";E1402;"Élaboration de plan média";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1402;"information-communication, audiovisuel/journalisme - édition - publicité| commerce, marketing, vente/marketing - vente"
"administrateur / administratrice de base de données";http://www.onisep.fr/http/redirection/metier/slug/MET.14;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1801;"informatique, internet/bases de données| informatique, internet/informatique (généralités)"
"administrateur / administratrice de logiciels de laboratoire";http://www.onisep.fr/http/redirection/metier/slug/MET.717;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1810;"Production et exploitation de systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1810;"informatique, internet/informatique (généralités)| informatique, internet/systèmes et réseaux"
"administrateur / administratrice réseaux";http://www.onisep.fr/http/redirection/metier/slug/MET.665;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1801;"informatique, internet/systèmes et réseaux| électricité - électronique - robotique/télécommunications"
"administrateur / administratrice réseaux";http://www.onisep.fr/http/redirection/metier/slug/MET.665;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1801;"informatique, internet/systèmes et réseaux| électricité - électronique - robotique/télécommunications"
"agenceur / agenceuse de cuisines et salles de bains";http://www.onisep.fr/http/redirection/metier/slug/MET.405;"Les métiers de l'architecture, de l'urbanisme et du paysage";Parcours;2020;9782273015196;"GFE C : bâtiment";H2206;"Réalisation de menuiserie bois et tonnellerie";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2206;"construction - architecture - travaux publics/agencement| construction - architecture - travaux publics/ameublement| matières premières, fabrication, industries/bois| construction - architecture - travaux publics/menuiserie"
